{
{0.111892 + 0.523052 I,-0.108129 - 0.0432387 I, 0.343178 + 0.282662 I, -0.0795876 - 0.188787 I, 0.17109 + 0.453712 I, 0.377329 + 0.288423 I} ,
{0.366648 + 0.244577 I, -0.42935 - 0.297077 I, 0.267742 + 0.0795788 I, -0.310679 - 0.242592 I, 0.479607 + 0.136225 I, 0.22621 + 0.00355559 I},
{0.0440373 + 0.156894 I, -0.300581 - 0.563533 I, 0.234383 + 0.421924 I, -0.281029 - 0.252478 I, 0.176513 + 0.0109154 I, 0.363123 + 0.163448 I},
{0.187624 + 0.225363 I, -0.342636 - 0.0153931 I, 0.433849 + 0.0860453 I, -0.354845 - 0.296127 I, 0.260797 + 0.163467 I, 0.335513 + 0.424065 I},
{0.0226343 + 0.2634 I, -0.39329 - 0.255346 I, 0.0607413 + 0.307228 I, -0.36762 - 0.362423 I, 0.231659 + 0.330086 I, 0.391634 + 0.172211 I},
{0.217377 + 0.282526 I, -0.426407 - 0.444673 I, 0.0580118 + 0.394484 I, -0.360393 - 0.135778 I, 0.141273 + 0.0631517 I, 0.0444327 + 0.400184 I},
{0.408915 + 0.18193 I, -0.413495 - 0.226535 I, 0.132172 + 0.319073 I, -0.32526 - 0.322656 I, 0.280744 + 0.385456 I, 0.0748985 + 0.123339 I},
{0.314254 + 0.314112 I, -0.435611 - 0.416105 I, 0.179059 + 0.0819924 I, -0.391354 - 0.0960641 I, 0.278244 + 0.371623 I, 0.0062604 + 0.15147 I},
{0.0363599 + 0.147417 I, -0.199982 - 0.272237 I, 0.088315 + 0.319126 I, -0.101048 - 0.456639 I, 0.465386 + 0.504346 I, 0.23816 + 0.0824625 I},
{0.262649 + 0.0921609 I, -0.206193 - 0.333393 I, 0.279034 + 0.0377643 I, -0.454475 - 0.00874811 I, 0.471543 + 0.260067 I, 0.0330651 + 0.438023 I},
{0.477282 + 0.0415024 I, -0.242917 - 0.167169 I, 0.102437 + 0.00781153 I, -0.343163 - 0.190054 I, 0.407077 + 0.287695 I, 0.339272 + 0.394339 I},
{0.439628 + 0.486725 I, -0.106466 - 0.0575662 I, 0.254826 + 0.0694093 I, -0.169355 - 0.320332 I, 0.376703 + 0.0122436 I, 0.0383299 + 0.458917 I},
{0.179334 + 0.0240031 I, -0.358798 - 0.323894 I, 0.4102 + 0.407317 I, -0.0425807 - 0.155758 I, 0.357606 + 0.260218 I, 0.139383 + 0.397935 I},
{0.0364847 + 0.201729 I, -0.180527 - 0.103114 I, 0.498209 + 0.072704 I, -0.3775 - 0.105901 I, 0.01087 + 0.439874 I, 0.259321 + 0.496667 I},
{0.11422 + 0.090412 I, -0.206647 - 0.193049 I, 0.456013 + 0.469522 I, -0.477561 - 0.0929788 I, 0.303878 + 0.229767 I, 0.296404 + 0.0266495 I},
{0.394671 + 0.202757 I, -0.441702 - 0.138186 I, 0.286471 + 0.071802 I, -0.242303 - 0.379719 I, 0.339642 + 0.103859 I, 0.313614 + 0.272604 I},
{0.309227 + 0.41936 I, -0.0988709 - 0.0683168 I, 0.148666 + 0.225347 I, -0.340694 - 0.430761 I, 0.0304616 + 0.191758 I, 0.446542 + 0.320099 I},
{0.232301 + 0.138574 I, -0.0202462 - 0.566915 I, 0.226132 + 0.205069 I, -0.349531 - 0.0168964 I, 0.442146 + 0.0610531 I, 0.372272 + 0.227105 I},
{0.11151 + 0.298922 I, -0.248974 - 0.13217 I, 0.419579 + 0.300217 I, -0.381227 - 0.270822 I, 0.348378 + 0.221444 I, 0.140644 + 0.379095 I},
{0.24304 + 0.496638 I, -0.0345842 - 0.384258 I, 0.0993589 + 0.0905545 I, -0.230327 - 0.346994 I, 0.0665919 + 0.37301 I, 0.407843 + 0.209752 I},
{0.31787 + 0.307891 I, -0.0871268 - 0.327438 I, 0.352692 + 0.090586 I, -0.393485 - 0.239022 I, 0.235937 + 0.378291 I, 0.045355 + 0.37943 I},
{0.330511 + 0.41512 I, -0.254591 - 0.372412 I, 0.223797 + 0.00762873 I, -0.292946 - 0.263899 I, 0.319241 + 0.0552171 I, 0.434601 + 0.124438 I},
{0.23321 + 0.0605347 I, -0.0812729 - 0.192637 I, 0.127993 + 0.115691 I, -0.199764 - 0.582899 I, 0.236491 + 0.461645 I, 0.331452 + 0.331491 I},
{0.326895 + 0.178189 I, -0.0670467 - 0.396976 I, 0.113524 + 0.153647 I, -0.411079 - 0.0429435 I, 0.304722 + 0.169881 I, 0.0154933 + 0.608294 I},
{0.257876 + 0.383613 I, -0.292019 - 0.333442 I, 0.390449 + 0.216374 I, -0.0214878 - 0.331323 I, 0.25038 + 0.117444 I, 0.270676 + 0.361425 I},
{0.0479413 + 0.298194 I, -0.0894291 - 0.267419 I, 0.222013 + 0.180164 I, -0.359129 - 0.43252 I, 0.427342 + 0.387353 I, 0.311384 + 0.0430363 I},
{0.462681 + 0.118002 I, -0.2784 - 0.228088 I, 0.440412 + 0.228979 I, -0.120191 - 0.225319 I, 0.391081 + 0.0716376 I, 0.0360085 + 0.414112 I},
{0.153429 + 0.275592 I, -0.144676 - 0.479425 I, 0.166725 + 0.263014 I, -0.493279 - 0.384108 I, 0.286843 + 0.0975997 I, 0.128083 + 0.231693 I},
{0.219991 + 0.370153 I, -0.374962 - 0.311755 I, 0.366391 + 0.124036 I, -0.330931 - 0.392159 I, 0.0637885 + 0.097114 I, 0.387676 + 0.00888596 I},
{0.463439 + 0.167213 I, -0.280259 - 0.349437 I, 0.469428 + 0.258008 I, -0.190509 - 0.0458603 I, 0.201086 + 0.00428522 I, 0.208596 + 0.383821 I},
{0.0578743 + 0.334279 I, -0.0563241 - 0.449351 I, 0.138117 + 0.0382746 I, -0.153808 - 0.56791 I, 0.105279 + 0.162263 I, 0.0134479 + 0.524886 I},
{0.36672 + 0.40706 I, -0.00983251 - 0.146688 I, 0.330346 + 0.105465 I, -0.34217 - 0.0775001 I, 0.259107 + 0.546883 I, 0.227103 + 0.130666 I},
{0.34261 + 0.228373 I, -0.347052 - 0.38589 I, 0.22778 + 0.285178 I, -0.0752119 - 0.254566 I, 0.335169 + 0.326304 I, 0.349029 + 0.129629 I},
{0.303605 + 0.454632 I, -0.552184 - 0.169145 I, 0.144225 + 0.018811 I, -0.114513 - 0.260163 I, 0.16874 + 0.453218 I, 0.124661 + 0.127455 I},
{0.0276609 + 0.286309 I, -0.0893057 - 0.307827 I, 0.192242 + 0.0694048 I, -0.41212 - 0.0140389 I, 0.363147 + 0.320605 I, 0.384768 + 0.469047 I},
{0.102509 + 0.203744 I, -0.405348 - 0.0928582 I, 0.00315528 + 0.143477 I, -0.433815 - 0.206437 I, 0.343151 + 0.4267 I, 0.126009 + 0.456004 I},
{0.0704414 + 0.427276 I, -0.208535 - 0.388749 I, 0.0101549 + 0.439802 I, -0.297242 - 0.13868 I, 0.25682 + 0.390232 I, 0.308224 + 0.0592149 I},
{0.313793 + 0.154392 I, -0.223749 - 0.358541 I, 0.380214 + 0.271063 I, -0.3557 - 0.112734 I, 0.394674 + 0.112845 I, 0.352884 + 0.220871 I},
{0.465564 + 0.254727 I, -0.0693497 - 0.0125765 I, 0.351368 + 0.0711795 I, -0.269387 - 0.424358 I, 0.360283 + 0.072994 I, 0.0244478 + 0.443274 I},
{0.342467 + 0.20716 I, -0.0152346 - 0.256257 I, 0.443611 + 0.256238 I, -0.221203 - 0.299676 I, 0.43984 + 0.0703074 I, 0.388584 + 0.152697 I},
{0.216413 + 0.121284 I, -0.405542 - 0.363725 I, 0.250945 + 0.181752 I, -0.28781 - 0.279583 I, 0.188885 + 0.438435 I, 0.293919 + 0.265321 I},
{0.408494 + 0.274247 I, -0.247206 - 0.147843 I, 0.526007 + 0.0276225 I, -0.223224 - 0.122989 I, 0.33819 + 0.277157 I, 0.0293177 + 0.374838 I},
{0.107249 + 0.316058 I, -0.329347 - 0.317359 I, 0.215315 + 0.0882637 I, -0.424025 - 0.273463 I, 0.230274 + 0.235137 I, 0.124879 + 0.496768 I},
{0.113526 + 0.245109 I, -0.350682 - 0.381214 I, 0.296563 + 0.261482 I, -0.378298 - 0.286852 I, 0.31694 + 0.13099 I, 0.38012 + 0.122129 I},
{0.351818 + 0.12498 I, -0.281524 - 0.0841427 I, 0.32717 + 0.41772 I, -0.0996801 - 0.0865111 I, 0.397283 + 0.245111 I, 0.200298 + 0.466139 I},
{0.350638 + 0.507053 I, -0.414544 - 0.0972063 I, 0.210043 + 0.153864 I, -0.125394 - 0.342969 I, 0.399431 + 0.212797 I, 0.157957 + 0.0879361 I},
{0.137143 + 0.220892 I, -0.417963 - 0.0406458 I, 0.19192 + 0.424025 I, -0.205891 - 0.420552 I, 0.359657 + 0.259591 I, 0.135613 + 0.324093 I},
{0.0381703 + 0.327521 I, -0.209975 - 0.506722 I, 0.137826 + 0.071165 I, -0.00432277 - 0.546225 I, 0.324927 + 0.00295714 I, 0.176105 + 0.362458 I},
{0.226478 + 0.0545808 I, -0.39751 - 0.206325 I, 0.543064 + 0.146896 I, -0.489013 - 0.255613 I, 0.253827 + 0.0435272 I, 0.0176141 + 0.239879 I},
{0.229543 + 0.371629 I, -0.257945 - 0.352275 I, 0.316354 + 0.43009 I, -0.0926847 - 0.272552 I, 0.352907 + 0.28808 I, 0.194876 + 0.0715975 I},
{0.0740266 + 0.0792338 I, -0.192886 - 0.250415 I, 0.324942 + 0.376798 I, -0.356873 - 0.235675 I, 0.262348 + 0.0550952 I, 0.457816 + 0.420009 I},
{0.417997 + 0.403832 I, -0.0127215 - 0.26517 I, 0.216259 + 0.347809 I, -0.145196 - 0.374718 I, 0.0461269 + 0.351072 I, 0.0236369 + 0.369525 I},
{0.0302202 + 0.412511 I, -0.267639 - 0.253611 I, 0.0824883 + 0.334673 I, -0.415683 - 0.290271 I, 0.231665 + 0.27661 I, 0.06169 + 0.42793 I},
{0.329698 + 0.219184 I, -0.407284 - 0.0950704 I, 0.411052 + 0.0207272 I, -0.250563 - 0.422384 I, 0.170984 + 0.11027 I, 0.200548 + 0.419692 I},
{0.154745 + 0.067812 I, -0.371709 - 0.350082 I, 0.332732 + 0.258319 I, -0.210917 - 0.28342 I, 0.245656 + 0.405657 I, 0.122639 + 0.410529 I},
{0.00928006 + 0.371851 I, -0.309431 - 0.470093 I, 0.0577405 + 0.340247 I, -0.108664 - 0.120354 I, 0.453318 + 0.159911 I, 0.320319 + 0.256589 I},
{0.520925 + 0.335878 I, -0.28858 - 0.234337 I, 0.0145768 + 0.402532 I, -0.327555 - 0.0209091 I, 0.297116 + 0.209991 I, 0.00264445 + 0.274365 I},
{0.245128 + 0.0906357 I, -0.215742 - 0.377961 I, 0.016668 + 0.395984 I, -0.240531 - 0.275203 I, 0.301709 + 0.585243 I, 0.122826 + 0.0547793 I},
{0.36924 + 0.371652 I, -0.141495 - 0.441132 I, 0.0368275 + 0.214825 I, -0.386879 - 0.303666 I, 0.23297 + 0.0534535 I, 0.403886 + 0.0356119 I},
{0.389416 + 0.103827 I, -0.385521 - 0.173942 I, 0.211564 + 0.258222 I, -0.317828 - 0.162746 I, 0.213741 + 0.34302 I, 0.347921 + 0.367909 I},
{0.195664 + 0.270118 I, -0.23332 - 0.472177 I, 0.120243 + 0.354195 I, -0.266769 - 0.253886 I, 0.166891 + 0.198643 I, 0.225507 + 0.466541 I},
{0.224163 + 0.320074 I, -0.178253 - 0.404883 I, 0.352669 + 0.358652 I, -0.362779 - 0.239487 I, 0.184137 + 0.0651879 I, 0.311395 + 0.27296 I},
{0.498657 + 0.198017 I, -0.20083 - 0.134511 I, 0.313068 + 0.125785 I, -0.16257 - 0.288269 I, 0.231385 + 0.493303 I, 0.182089 + 0.316702 I},
{0.223934 + 0.409344 I, -0.329068 - 0.03378 I, 0.295705 + 0.350916 I, -0.398755 - 0.0951412 I, 0.403663 + 0.221496 I, 0.0529169 + 0.281813 I},
{0.261045 + 0.364505 I, -0.16288 - 0.0907874 I, 0.311415 + 0.483938 I, -0.371558 - 0.38866 I, 0.316808 + 0.16043 I, 0.12872 + 0.0354702 I},
{0.22004 + 0.26763 I, -0.134532 - 0.415696 I, 0.186 + 0.184091 I, -0.00659408 - 0.331748 I, 0.432669 + 0.0788406 I, 0.473229 + 0.305133 I},
{0.493487 + 0.137444 I, -0.0252173 - 0.447973 I, 0.0854634 + 0.0816854 I, -0.167261 - 0.165085 I, 0.104949 + 0.509864 I, 0.207837 + 0.391007 I},
{0.393816 + 0.304635 I, -0.0594662 - 0.233614 I, 0.482301 + 0.353294 I, -0.0738582 - 0.053905 I, 0.314632 + 0.309942 I, 0.193263 + 0.309507 I},
{0.0759971 + 0.218338 I, -0.161426 - 0.282027 I, 0.120178 + 0.151336 I, -0.419899 - 0.466237 I, 0.107958 + 0.131787 I, 0.195036 + 0.585539 I},
{0.459469 + 0.434891 I, -0.412229 - 0.226937 I, 0.349145 + 0.303502 I, -0.167187 - 0.0850179 I, 0.173227 + 0.115609 I, 0.0784601 + 0.282136 I},
{0.388075 + 0.428712 I, -0.151308 - 0.0739498 I, 0.0796836 + 0.354634 I, -0.284231 - 0.160237 I, 0.15971 + 0.382599 I, 0.144615 + 0.453719 I},
{0.272584 + 0.195975 I, -0.223102 - 0.0720082 I, 0.0312331 + 0.553348 I, -0.395011 - 0.108141 I, 0.459027 + 0.0387609 I, 0.295428 + 0.240725 I},
{0.135301 + 0.197971 I, -0.379853 - 0.298623 I, 0.294825 + 0.470214 I, -0.0705061 - 0.0449245 I, 0.151747 + 0.482326 I, 0.363992 + 0.0766095 I},
{0.270454 + 0.35201 I, -0.071875 - 0.345504 I, 0.254545 + 0.364237 I, -0.126529 - 0.0701352 I, 0.0371755 + 0.314782 I, 0.433391 + 0.414388 I},
{0.323059 + 0.17496 I, -0.378244 - 0.092112 I, 0.380855 + 0.231561 I, -0.256373 - 0.255122 I, 0.324773 + 0.0449702 I, 0.362678 + 0.380721 I},
{0.525869 + 0.0575049 I, -0.205231 - 0.113113 I, 0.480594 + 0.155582 I, -0.272805 - 0.276603 I, 0.0844112 + 0.419065 I, 0.0667901 + 0.268201 I},
{0.199925 + 0.224697 I, -0.0104678 - 0.130157 I, 0.321781 + 0.328001 I, -0.377735 - 0.410451 I, 0.260764 + 0.354641 I, 0.383456 + 0.171474 I},
{0.094845 + 0.453719 I, -0.435829 - 0.201359 I, 0.0091903 + 0.24588 I, -0.211914 - 0.407245 I, 0.30654 + 0.0259913 I, 0.420449 + 0.109245 I},
{0.353915 + 0.393265 I, -0.285615 - 0.259457 I, 0.391065 + 0.43645 I, -0.0263953 - 0.318433 I, 0.049405 + 0.130067 I, 0.00147043 + 0.326061 I},
{0.298622 + 0.412634 I, -0.12987 - 0.199757 I, 0.152207 + 0.00118357 I, -0.373184 - 0.1444 I, 0.387804 + 0.445486 I, 0.367735 + 0.128156 I},
{0.122636 + 0.0169928 I, -0.440951 - 0.36736 I, 0.155023 + 0.344718 I, -0.519882 - 0.148641 I, 0.142771 + 0.333015 I, 0.297023 + 0.0232595 I},
{0.33273 + 0.252116 I, -0.0237883 - 0.409734 I, 0.0173473 + 0.21856 I, -0.230513 - 0.252677 I, 0.315692 + 0.45587 I, 0.423867 + 0.071314 I},
{0.315043 + 0.391601 I, -0.00749393 - 0.453191 I, 0.0441336 + 0.353033 I, -0.241852 - 0.125948 I, 0.404212 + 0.0391855 I, 0.412692 + 0.076061 I},
{0.444663 + 0.0126122 I, -0.030334 - 0.158676 I, 0.407117 + 0.342511 I, -0.0514601 - 0.36236 I, 0.0409984 + 0.332716 I, 0.218134 + 0.446143 I},
{0.0746254 + 0.246817 I, -0.390167 - 0.0441643 I, 0.37749 + 0.457112 I, -0.087844 - 0.264035 I, 0.205189 + 0.283888 I, 0.439961 + 0.184905 I},
{0.158964 + 0.161663 I, -0.152168 - 0.156823 I, 0.414143 + 0.417832 I, -0.390224 - 0.341419 I, 0.375023 + 0.264021 I, 0.238026 + 0.137485 I},
{0.0744157 + 0.26194 I, -0.425068 - 0.134416 I, 0.421665 + 0.243104 I, -0.358423 - 0.301567 I, 0.182687 + 0.161477 I, 0.0850483 + 0.451781 I},
{0.344226 + 0.220745 I, -0.209546 - 0.0845491 I, 0.0765438 + 0.0352007 I, -0.0920292 - 0.484948 I, 0.257511 + 0.307909 I, 0.234629 + 0.561079 I},
{0.128886 + 0.35507 I, -0.288128 - 0.361271 I, 0.421503 + 0.123966 I, -0.136403 - 0.22781 I, 0.256746 + 0.256858 I, 0.293841 + 0.402501 I},
{0.180728 + 0.193664 I, -0.00619106 - 0.0343217 I, 0.459571 + 0.466086 I, -0.205356 - 0.215405 I, 0.147437 + 0.309784 I, 0.422586 + 0.339589 I},
{0.299865 + 0.162606 I, -0.35582 - 0.0122717 I, 0.229778 + 0.0166483 I, -0.175483 - 0.422832 I, 0.460004 + 0.103625 I, 0.457922 + 0.249381 I},
{0.426638 + 0.301688 I, -0.399408 - 0.238272 I, 0.188605 + 0.429661 I, -0.0714182 - 0.258019 I, 0.393688 + 0.182994 I, 0.0946618 + 0.146191 I},
{0.0588511 + 0.138536 I, -0.340463 - 0.416487 I, 0.06146 + 0.0387817 I, -0.253077 - 0.00680663 I, 0.372516 + 0.28824 I, 0.450312 + 0.44041 I},
{0.264924 + 0.394492 I, -0.153072 - 0.392377 I, 0.269159 + 0.0073327 I, -0.427737 - 0.0657936 I, 0.0308773 + 0.310385 I, 0.414936 + 0.2599 I},
{0.196774 + 0.357409 I, -0.33158 - 0.0265443 I, 0.0636564 + 0.188375 I, -0.0329152 - 0.186657 I, 0.383895 + 0.490306 I, 0.476242 + 0.181234 I},
{0.145852 + 0.456682 I, -0.125394 - 0.189028 I, 0.430485 + 0.0877915 I, -0.123212 - 0.153599 I, 0.165362 + 0.480497 I, 0.20673 + 0.431226 I},
{0.0230012 + 0.474284 I, -0.174561 - 0.0919395 I, 0.0641234 + 0.202735 I, -0.50072 - 0.353922 I, 0.43938 + 0.338578 I, 0.0498669 + 0.0650372 I},
{0.594684 + 0.282893 I, -0.163208 - 0.155905 I, 0.246027 + 0.0410527 I, -0.161931 - 0.145079 I, 0.0363146 + 0.42782 I, 0.0225799 + 0.470145 I},
{0.0955278 + 0.478645 I, -0.0956241 - 0.276245 I, 0.510613 + 0.0740623 I, -0.0982833 - 0.122877 I, 0.136969 + 0.392315 I, 0.256455 + 0.383286 I},
{0.161254 + 0.465375 I, -0.222304 - 0.0385603 I, 0.404432 + 0.130011 I, -0.294547 - 0.0629786 I, 0.444078 + 0.447239 I, 0.0117077 + 0.194833 I},
{0.157984 + 0.35372 I, -0.233279 - 0.386293 I, 0.164753 + 0.111926 I, -0.117051 - 0.331391 I, 0.206306 + 0.462665 I, 0.0826698 + 0.468652 I},
{0.365957 + 0.244823 I, -0.364794 - 0.0788003 I, 0.150816 + 0.0478962 I, -0.380657 - 0.316705 I, 0.334514 + 0.388274 I, 0.196596 + 0.308716 I},
{0.256506 + 0.448116 I, -0.233712 - 0.0559738 I, 0.0181226 + 0.482183 I, -0.403436 - 0.431402 I, 0.152037 + 0.0716194 I, 0.233941 + 0.104748 I},
{0.360463 + 0.362388 I, -0.242209 - 0.112869 I, 0.421414 + 0.402648 I, -0.203008 - 0.211945 I, 0.161084 + 0.28774 I, 0.294882 + 0.213987 I},
{0.00824055 + 0.160147 I, -0.294274 - 0.198353 I, 0.198455 + 0.317202 I, -0.070289 - 0.483402 I, 0.398222 + 0.259338 I, 0.275857 + 0.409622 I},
{0.49976 + 0.194093 I, -0.0568231 - 0.0444967 I, 0.187104 + 0.485594 I, -0.484225 - 0.161635 I, 0.158772 + 0.243613 I, 0.170264 + 0.249808 I},
{0.288341 + 0.374961 I, -0.40775 - 0.209904 I, 0.166324 + 0.234563 I, -0.41959 - 0.342539 I, 0.140409 + 0.274332 I, 0.0371662 + 0.305806 I},
{0.373981 + 0.413032 I, -0.356545 - 0.0478589 I, 0.201077 + 0.0895606 I, -0.267955 - 0.42084 I, 0.0887834 + 0.0449769 I, 0.424316 + 0.269849 I},
{0.430027 + 0.0287058 I, -0.287223 - 0.0225837 I, 0.342784 + 0.50554 I, -0.27315 - 0.494377 I, 0.108438 + 0.00302837 I, 0.00183816 + 0.165478 I},
{0.0570439 + 0.376661 I, -0.0156612 - 0.222435 I, 0.18901 + 0.248393 I, -0.342889 - 0.379661 I, 0.288794 + 0.230697 I, 0.389585 + 0.397003 I},
{0.0280395 + 0.449219 I, -0.2352 - 0.329566 I, 0.0311885 + 0.329722 I, -0.197143 - 0.19802 I, 0.43566 + 0.496981 I, 0.0836313 + 0.0439693 I},
{0.44052 + 0.522486 I, -0.0927488 - 0.111611 I, 0.145592 + 0.173471 I, -0.00230895 - 0.382902 I, 0.328424 + 0.123157 I, 0.134086 + 0.415901 I},
{0.272068 + 0.481643 I, -0.191968 - 0.254094 I, 0.174672 + 0.279079 I, -0.0575139 - 0.127095 I, 0.501673 + 0.175018 I, 0.113205 + 0.411831 I},
{0.303456 + 0.0288741 I, -0.112023 - 0.199768 I, 0.377836 + 0.366943 I, -0.268088 - 0.0845735 I, 0.415823 + 0.275669 I, 0.450874 + 0.214484 I},
{0.298489 + 0.0949815 I, -0.412646 - 0.273128 I, 0.424656 + 0.243095 I, -0.137239 - 0.239666 I, 0.0322836 + 0.376347 I, 0.242636 + 0.373837 I},
{0.0323129 + 0.37341 I, -0.423926 - 0.371705 I, 0.446416 + 0.184653 I, -0.116037 - 0.133298 I, 0.211873 + 0.345052 I, 0.335952 + 0.0145327 I},
{0.19893 + 0.23959 I, -0.176815 - 0.373376 I, 0.296716 + 0.0941903 I, -0.241712 - 0.461685 I, 0.389184 + 0.127242 I, 0.421195 + 0.137116 I},
{0.32508 + 0.150688 I, -0.436545 - 0.20043 I, 0.088446 + 0.447999 I, -0.208244 - 0.328884 I, 0.0294577 + 0.428122 I, 0.066008 + 0.303815 I},
{0.138935 + 0.146382 I, -0.17469 - 0.126507 I, 0.195044 + 0.151193 I, -0.213955 - 0.309839 I, 0.397444 + 0.190357 I, 0.161799 + 0.699781 I},
{0.0816306 + 0.128605 I, -0.154197 - 0.246421 I, 0.459678 + 0.028449 I, -0.496196 - 0.0876281 I, 0.126301 + 0.508537 I, 0.289827 + 0.260258 I},
{0.208271 + 0.337876 I, -0.0688263 - 0.387267 I, 0.361102 + 0.119794 I, -0.181295 - 0.295811 I, 0.441953 + 0.0330513 I, 0.378513 + 0.288004 I},
{0.0323857 + 0.102815 I, -0.286155 - 0.22834 I, 0.390492 + 0.237277 I, -0.188546 - 0.250289 I, 0.00186091 + 0.446504 I, 0.487729 + 0.331857 I},
{0.156748 + 0.477136 I, -0.00577734 - 0.165504 I, 0.313243 + 0.0572148 I, -0.494349 - 0.1251 I, 0.105348 + 0.351293 I, 0.0502617 + 0.471052 I},
{0.230657 + 0.37718 I, -0.419088 - 0.079959 I, 0.167369 + 0.212985 I, -0.341826 - 0.171952 I, 0.332367 + 0.41962 I, 0.297426 + 0.16645 I},
{0.301034 + 0.28687 I, -0.485696 - 0.308911 I, 0.108229 + 0.135811 I, -0.267897 - 0.301687 I, 0.404837 + 0.0983988 I, 0.358148 + 0.0311423 I},
{0.0081164 + 0.233837 I, -0.41634 - 0.367743 I, 0.134013 + 0.249909 I, -0.387475 - 0.110506 I, 0.486611 + 0.2526 I, 0.139508 + 0.27177 I},
{0.407044 + 0.200539 I, -0.179173 - 0.385147 I, 0.041887 + 0.442615 I, -0.232669 - 0.207348 I, 0.214999 + 0.26051 I, 0.415061 + 0.180281 I},
{0.122878 + 0.0780038 I, -0.47991 - 0.116994 I, 0.319616 + 0.501382 I, -0.391911 - 0.120736 I, 0.186011 + 0.190103 I, 0.173731 + 0.334938 I},
{0.0611328 + 0.348595 I, -0.327881 - 0.422002 I, 0.287268 + 0.223413 I, -0.362835 - 0.0770362 I, 0.158759 + 0.235237 I, 0.402949 + 0.276085 I},
{0.370027 + 0.339745 I, -0.333469 - 0.209066 I, 0.197416 + 0.282687 I, -0.20887 - 0.384015 I, 0.301766 + 0.376867 I, 0.15327 + 0.161807 I},
{0.0284167 + 0.435866 I, -0.226949 - 0.197244 I, 0.129092 + 0.424889 I, -0.134982 - 0.404909 I, 0.255953 + 0.44363 I, 0.121099 + 0.249901 I},
{0.48348 + 0.0786907 I, -0.308923 - 0.502629 I, 0.15484 + 0.0266882 I, -0.312881 - 0.0109259 I, 0.453604 + 0.148728 I, 0.004 + 0.247774 I},
{0.214215 + 0.206827 I, -0.263725 - 0.0085316 I, 0.301015 + 0.0526644 I, -0.345074 - 0.473782 I, 0.405749 + 0.223254 I, 0.294603 + 0.321738 I},
{0.0249085 + 0.133242 I, -0.509222 - 0.0921916 I, 0.265057 + 0.509784 I, -0.067921 - 0.147611 I, 0.0924296 + 0.256323 I, 0.276595 + 0.454459 I},
{0.0885696 + 0.164234 I, -0.249706 - 0.424076 I, 0.121767 + 0.327616 I, -0.146167 - 0.191492 I, 0.155154 + 0.44333 I, 0.223732 + 0.521657 I},
{0.437137 + 0.45473 I, -0.546152 - 0.401087 I, 0.0783075 + 0.11267 I, -0.193061 - 0.249692 I, 0.0163973 + 0.0513043 I, 0.119019 + 0.0864118 I},
{0.132742 + 0.212087 I, -0.440811 - 0.308564 I, 0.126295 + 0.560887 I, -0.352388 - 0.100612 I, 0.00783884 + 0.0972464 I, 0.0456832 + 0.414032 I},
{0.219734 + 0.174594 I, -0.353994 - 0.290758 I, 0.284146 + 0.303461 I, -0.23176 - 0.376302 I, 0.28165 + 0.0784412 I, 0.29901 + 0.410308 I},
{0.0952086 + 0.418933 I, -0.204967 - 0.482012 I, 0.206128 + 0.14647 I, -0.420818 - 0.317442 I, 0.0225849 + 0.24492 I, 0.18962 + 0.320674 I},
{0.48366 + 0.00664347 I, -0.109917 - 0.293449 I, 0.252411 + 0.573301 I, -0.108074 - 0.0241454 I, 0.290618 + 0.203318 I, 0.0168565 + 0.370278 I},
{0.331143 + 0.0882618 I, -0.179328 - 0.347868 I, 0.14572 + 0.392274 I, -0.124362 - 0.0942464 I, 0.484749 + 0.266462 I, 0.380692 + 0.281091 I},
{0.520767 + 0.259632 I, -0.198774 - 0.102272 I, 0.38188 + 0.321496 I, -0.343917 - 0.0559025 I, 0.269385 + 0.205844 I, 0.345697 + 0.0798721 I},
{0.492583 + 0.184694 I, -0.147268 - 0.174117 I, 0.337567 + 0.342387 I, -0.00404074 - 0.103791 I, 0.24119 + 0.158489 I, 0.491488 + 0.323149 I},
{0.00162978 + 0.232891 I, -0.349357 - 0.413912 I, 0.439159 + 0.218567 I, -0.175506 - 0.0828235 I, 0.238951 + 0.462455 I, 0.0977358 + 0.305904 I},
{0.132489 + 0.495187 I, -0.176729 - 0.386016 I, 0.341006 + 0.449419 I, -0.0594302 - 0.0382587 I, 0.139307 + 0.0244326 I, 0.416369 + 0.200922 I},
{0.13597 + 0.376263 I, -0.0327331 - 0.115923 I, 0.335234 + 0.226875 I, -0.503881 - 0.185018 I, 0.045612 + 0.373669 I, 0.341126 + 0.339664 I},
{0.236017 + 0.107211 I, -0.406459 - 0.0740397 I, 0.32201 + 0.502824 I, -0.125429 - 0.00911788 I, 0.462918 + 0.358294 I, 0.0297574 + 0.214989 I},
{0.141053 + 0.101723 I, -0.313911 - 0.188382 I, 0.0205778 + 0.488253 I, -0.167506 - 0.443234 I, 0.023538 + 0.395118 I, 0.164412 + 0.434391 I},
{0.371879 + 0.339733 I, -0.478932 - 0.404391 I, 0.310186 + 0.106524 I, -0.366992 - 0.0605097 I, 0.0843693 + 0.269533 I, 0.0149527 + 0.165778 I},
{0.215318 + 0.135635 I, -0.116219 - 0.475622 I, 0.312344 + 0.0335303 I, -0.45122 - 0.302305 I, 0.101736 + 0.496086 I, 0.209332 + 0.0396873 I},
